timestep,temp_air,rh,wind_dir,wind_speed,dni,dhi
560,22.2,82,150,7.2,90,230
561,22.6,81,150,8.7,131,346
562,23.0,83,140,10.3,150,447
563,23.5,80,140,9.8,469,414
564,24.0,78,150,9.3,693,313
565,23.6,79,150,13.9,723,272
566,23.3,81,150,13.9,638,303
567,22.9,84,150,14.8,592,257
568,22.8,85,150,12.9,422,258
569,22.9,85,150,13.0,224,209
570,22.5,88,150,12.8,64,109
571,22.1,89,150,11.9,0,16
572,21.8,91,150,11.1,0,0
573,21.7,92,150,10.9,0,0
574,21.8,92,150,10.0,0,0
575,21.7,93,150,9.3,0,0
576,21.9,92,150,9.2,0,0
577,22.0,94,120,9.3,0,0
578,21.6,95,120,11.3,0,0
579,22.0,94,130,10.3,0,0
580,22.0,94,130,11.3,0,0
581,21.8,93,120,9.3,0,0
582,22.0,94,120,7.7,0,8
583,22.0,94,130,7.7,0,50
584,21.8,96,140,7.2,0,116
585,22.0,94,140,9.3,1,183
586,23.0,89,120,12.9,5,238
587,24.0,83,120,10.3,6,277
588,25.0,74,140,9.3,7,297
589,24.0,83,120,9.3,7,295
590,23.8,84,120,10.3,7,272
591,23.0,89,120,11.3,35,337
592,23.0,94,130,8.2,65,307
593,23.6,89,110,9.3,54,223
594,23.0,89,110,9.8,24,117
595,22.6,93,110,9.0,0,17
596,22.2,95,110,8.2,0,0
597,22.0,94,110,8.2,0,0
598,22.0,94,120,6.7,0,0
599,21.9,95,110,5.7,0,0
600,22.0,94,110,5.7,0,0
601,22.0,94,100,6.2,0,0
602,21.8,96,110,6.2,0,0
603,22.0,94,100,5.7,0,0
604,22.0,94,100,5.7,0,0
605,21.9,96,110,5.7,0,0
606,22.0,94,110,9.3,0,11
607,22.0,94,140,7.2,0,98
608,22.0,94,120,5.1,96,222
609,23.0,89,130,7.2,235,321
610,24.0,83,130,9.3,387,365
611,24.2,76,120,9.3,570,320
612,25.0,83,140,9.3,640,317
613,25.0,83,140,9.3,652,328
614,24.8,84,160,7.2,719,247
615,24.0,78,150,7.2,564,274
616,24.0,83,130,7.2,301,296
617,23.2,89,130,9.3,98,202
618,22.0,94,130,8.2,0,83
619,24.0,83,90,5.1,0,8
620,22.5,93,120,3.6,0,0
621,22.0,94,110,4.1,0,0
622,22.0,95,110,4.1,0,0
623,22.0,95,120,4.1,0,0
624,22.0,94,110,3.6,0,0
625,22.0,94,120,4.1,0,0
626,21.6,96,120,3.6,0,0
627,22.0,94,120,3.6,0,0
628,22.0,100,160,2.1,0,0
629,22.0,94,0,0.0,0,0
